"ref_binomial";"ref_id";"ref_kingdom";"ref_phylum";"ref_class";"ref_order";"ref_family";"ref_genus"
"Polyplectron schleiermacheri";"22679393";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Polyplectron"
"Tetraogallus caspius";"22678664";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Tetraogallus"
"Alectoris barbara";"22678707";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Alectoris"
"Ammoperdix griseogularis";"22678652";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Ammoperdix"
"Phasianus colchicus";"45100023";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Phasianus"
"Perdix perdix";"22678911";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Perdix"
"Bonasa bonasia";"22679494";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Bonasa"
"Tetrao urogallus";"22679487";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Tetrao"
"Lyrurus tetrix";"22679480";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lyrurus"
"Cygnus olor";"22679839";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Cygnus"
"Cygnus cygnus";"22679856";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Cygnus"
"Anser brachyrhynchus";"22679872";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Anser"
"Anser albifrons";"22679881";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Anser"
"Mergellus albellus";"22680465";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Mergellus"
"Tadorna ferruginea";"22680003";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Tadorna"
"Netta rufina";"22680348";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Netta"
"Aythya fuligula";"22680391";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Aythya"
"Spatula querquedula";"22680313";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Spatula"
"Mareca strepera";"22680149";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Mareca"
"Columba oenas";"22690088";"Animalia";"Chordata";"Aves";"Columbiformes";"Columbidae";"Columba"
"Columba bollii";"22690117";"Animalia";"Chordata";"Aves";"Columbiformes";"Columbidae";"Columba"
"Caprimulgus europaeus";"22689887";"Animalia";"Chordata";"Aves";"Caprimulgiformes";"Caprimulgidae";"Caprimulgus"
"Tachymarptis melba";"22686774";"Animalia";"Chordata";"Aves";"Caprimulgiformes";"Apodidae";"Tachymarptis"
"Apus apus";"22686800";"Animalia";"Chordata";"Aves";"Caprimulgiformes";"Apodidae";"Apus"
"Crex crex";"22692543";"Animalia";"Chordata";"Aves";"Gruiformes";"Rallidae";"Crex"
"Porzana porzana";"22692676";"Animalia";"Chordata";"Aves";"Gruiformes";"Rallidae";"Porzana"
"Zapornia parva";"22692663";"Animalia";"Chordata";"Aves";"Gruiformes";"Rallidae";"Zapornia"
"Grus grus";"22692146";"Animalia";"Chordata";"Aves";"Gruiformes";"Gruidae";"Grus"
"Ciconia ciconia";"22697691";"Animalia";"Chordata";"Aves";"Ciconiiformes";"Ciconiidae";"Ciconia"
"Botaurus stellaris";"22697346";"Animalia";"Chordata";"Aves";"Pelecaniformes";"Ardeidae";"Botaurus"
"Egretta garzetta";"62774969";"Animalia";"Chordata";"Aves";"Pelecaniformes";"Ardeidae";"Egretta"
"Pluvialis apricaria";"22693727";"Animalia";"Chordata";"Aves";"Charadriiformes";"Charadriidae";"Pluvialis"
"Eudromias morinellus";"22693906";"Animalia";"Chordata";"Aves";"Charadriiformes";"Charadriidae";"Eudromias"
"Vanellus spinosus";"22693983";"Animalia";"Chordata";"Aves";"Charadriiformes";"Charadriidae";"Vanellus"
"Numenius phaeopus";"22693178";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Numenius"
"Calidris pugnax";"22693468";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Calidris"
"Calidris alba";"22693369";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Calidris"
"Gallinago stenura";"22693085";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Gallinago"
"Lymnocryptes minimus";"22693133";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Lymnocryptes"
"Actitis hypoleucos";"22693264";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Actitis"
"Tringa ochropus";"22693243";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Tringa"
"Tringa erythropus";"22693207";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Tringa"
"Tringa nebularia";"22693220";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Tringa"
"Tringa totanus";"22693211";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Tringa"
"Tringa glareola";"22693247";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Tringa"
"Tringa stagnatilis";"22693216";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Tringa"
"Chlidonias leucopterus";"22694782";"Animalia";"Chordata";"Aves";"Charadriiformes";"Laridae";"Chlidonias"
"Glaucidium passerinum";"22689194";"Animalia";"Chordata";"Aves";"Strigiformes";"Strigidae";"Glaucidium"
"Strix aluco";"22725469";"Animalia";"Chordata";"Aves";"Strigiformes";"Strigidae";"Strix"
"Picus canus";"22726503";"Animalia";"Chordata";"Aves";"Piciformes";"Picidae";"Picus"
"Picus viridis";"22725022";"Animalia";"Chordata";"Aves";"Piciformes";"Picidae";"Picus"
"Dryocopus martius";"22681382";"Animalia";"Chordata";"Aves";"Piciformes";"Picidae";"Dryocopus"
"Picoides tridactylus";"22727137";"Animalia";"Chordata";"Aves";"Piciformes";"Picidae";"Picoides"
"Dendrocopos syriacus";"22681127";"Animalia";"Chordata";"Aves";"Piciformes";"Picidae";"Dendrocopos"
"Dendrocopos major";"22681124";"Animalia";"Chordata";"Aves";"Piciformes";"Picidae";"Dendrocopos"
"Lagopus lagopus";"22679460";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lagopus"
"Apus affinis";"22686856";"Animalia";"Chordata";"Aves";"Caprimulgiformes";"Apodidae";"Apus"
"Vanellus indicus";"22694013";"Animalia";"Chordata";"Aves";"Charadriiformes";"Charadriidae";"Vanellus"
"Alcedo atthis";"22683027";"Animalia";"Chordata";"Aves";"Coraciiformes";"Alcedinidae";"Alcedo"
"Cygnus columbianus";"22679862";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Cygnus"
"Fulica cristata";"22692907";"Animalia";"Chordata";"Aves";"Gruiformes";"Rallidae";"Fulica"
"Turnix sylvaticus";"22680500";"Animalia";"Chordata";"Aves";"Charadriiformes";"Turnicidae";"Turnix"
"Ketupa zeylonensis";"22689012";"Animalia";"Chordata";"Aves";"Strigiformes";"Strigidae";"Ketupa"
"Chlamydotis undulata";"22728245";"Animalia";"Chordata";"Aves";"Otidiformes";"Otididae";"Chlamydotis"
"Rhea americana";"22678073";"Animalia";"Chordata";"Aves";"Struthioniformes";"Rheidae";"Rhea"
"Casuarius bennetti";"22678111";"Animalia";"Chordata";"Aves";"Struthioniformes";"Casuariidae";"Casuarius"
"Apteryx owenii";"22678129";"Animalia";"Chordata";"Aves";"Struthioniformes";"Apterygidae";"Apteryx"
"Apteryx haastii";"22678132";"Animalia";"Chordata";"Aves";"Struthioniformes";"Apterygidae";"Apteryx"
"Nothocercus julius";"22678157";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Nothocercus"
"Crypturellus berlepschi";"22678163";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus cinereus";"22678166";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus obsoletus";"22678176";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus undulatus";"22678182";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus strigulosus";"22678188";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus kerriae";"22678194";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus noctivagus";"22678217";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus variegatus";"22678223";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus brevirostris";"22678226";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
