"ref_binomial";"ref_id";"ref_kingdom";"ref_phylum";"ref_class";"ref_order";"ref_family";"ref_genus"
"Lemmus lemmus";"11481";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Lemmus"
"Lepus castroviejoi";"11797";"Animalia";"Chordata";"Mammalia";"Lagomorpha";"Leporidae";"Lepus"
"Marmota marmota";"12835";"Animalia";"Chordata";"Mammalia";"Rodentia";"Sciuridae";"Marmota"
"Microtus felteni";"13462";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Microtus"
"Microtus thomasi";"13486";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Microtus"
"Microtus multiplex";"13490";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Microtus"
"Microtus savii";"13491";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Microtus"
"Microtus duodecimcostatus";"13493";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Microtus"
"Microtus lusitanicus";"13494";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Microtus"
"Microtus liechtensteini";"136498";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Microtus"
"Plecotus sardus";"136503";"Animalia";"Chordata";"Mammalia";"Chiroptera";"Vespertilionidae";"Plecotus"
"Microtus brachycercus";"136536";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Microtus"
"Myotis alcathoe";"136680";"Animalia";"Chordata";"Mammalia";"Chiroptera";"Vespertilionidae";"Myotis"
"Uromys boeadii";"136773";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Uromys"
"Sorex antinorii";"136814";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Soricidae";"Sorex"
"Apodemus epimelas";"136816";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Apodemus"
"Mus spicilegus";"13984";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Mus"
"Euryoryzomys lamia";"15602";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Euryoryzomys"
"Phocarctos hookeri";"17026";"Animalia";"Chordata";"Mammalia";"Carnivora";"Otariidae";"Phocarctos"
"Prolagus sardus";"18338";"Animalia";"Chordata";"Mammalia";"Lagomorpha";"Prolagidae";"Prolagus"
"Apodemus alpicola";"1907";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Apodemus"
"Sicista severtzovi";"20192";"Animalia";"Chordata";"Mammalia";"Rodentia";"Dipodidae";"Sicista"
"Sorex samniticus";"20411";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Soricidae";"Sorex"
"Spalax giganteus";"20429";"Animalia";"Chordata";"Mammalia";"Rodentia";"Spalacidae";"Spalax"
"Spalax microphthalmus";"20430";"Animalia";"Chordata";"Mammalia";"Rodentia";"Spalacidae";"Spalax"
"Acomys minous";"269";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Acomys"
"Acomys nesiotes";"271";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Acomys"
"Erinaceus europaeus";"29650";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Erinaceidae";"Erinaceus"
"Crocidura sicula";"29655";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Soricidae";"Crocidura"
"Sorex coronatus";"29663";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Soricidae";"Sorex"
"Sorex granarius";"29664";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Soricidae";"Sorex"
"Microtus gerbei";"39315";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Microtus"
"Lepus corsicanus";"41305";"Animalia";"Chordata";"Mammalia";"Lagomorpha";"Leporidae";"Lepus"
"Lepus granatensis";"41306";"Animalia";"Chordata";"Mammalia";"Lagomorpha";"Leporidae";"Lepus"
"Talpa caeca";"41479";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Talpidae";"Talpa"
"Talpa occidentalis";"41483";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Talpidae";"Talpa"
"Talpa romana";"41484";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Talpidae";"Talpa"
"Talpa stankovici";"41485";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Talpidae";"Talpa"
"Crocidura canariensis";"5560";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Soricidae";"Crocidura"
"Equus hemionus";"7962";"Animalia";"Chordata";"Mammalia";"Perissodactyla";"Equidae";"Equus"
"Alcelaphus buselaphus";"809";"Animalia";"Chordata";"Mammalia";"Cetartiodactyla";"Bovidae";"Alcelaphus"
"Phoniscus aerosus";"10967";"Animalia";"Chordata";"Mammalia";"Chiroptera";"Vespertilionidae";"Phoniscus"
"Megaerops wetmorei";"12948";"Animalia";"Chordata";"Mammalia";"Chiroptera";"Pteropodidae";"Megaerops"
"Mesocricetus brandti";"13220";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Mesocricetus"
"Mesocricetus newtoni";"13221";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Mesocricetus"
"Delphinus delphis";"133729";"Animalia";"Chordata";"Mammalia";"Cetartiodactyla";"Delphinidae";"Delphinus"
"Microtus tatricus";"13464";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Microtus"
"Saguinus melanoleucus";"135429";"Animalia";"Chordata";"Mammalia";"Primates";"Callitrichidae";"Saguinus"
"Pteropus pelewensis";"136387";"Animalia";"Chordata";"Mammalia";"Chiroptera";"Pteropodidae";"Pteropus"
"Chaetodipus ammophilus";"136421";"Animalia";"Chordata";"Mammalia";"Rodentia";"Heteromyidae";"Chaetodipus"
"Plecotus kolombatovici";"136473";"Animalia";"Chordata";"Mammalia";"Chiroptera";"Vespertilionidae";"Plecotus"
"Nycticeius aenobarbus";"136562";"Animalia";"Chordata";"Mammalia";"Chiroptera";"Vespertilionidae";"Nycticeius"
"Crocidura hikmiya";"136596";"Animalia";"Chordata";"Mammalia";"Eulipotyphla";"Soricidae";"Crocidura"
"Scotophilus collinus";"136612";"Animalia";"Chordata";"Mammalia";"Chiroptera";"Vespertilionidae";"Scotophilus"
"Bos primigenius";"136721";"Animalia";"Chordata";"Mammalia";"Cetartiodactyla";"Bovidae";"Bos"
"Neofelis diardi";"136866";"Animalia";"Chordata";"Mammalia";"Carnivora";"Felidae";"Neofelis"
"Prionailurus bengalensis";"136889";"Animalia";"Chordata";"Mammalia";"Carnivora";"Felidae";"Prionailurus"
"Mysateles prehensilis";"14258";"Animalia";"Chordata";"Mammalia";"Rodentia";"Capromyidae";"Mysateles"
"Naemorhedus goral";"14296";"Animalia";"Chordata";"Mammalia";"Cetartiodactyla";"Bovidae";"Naemorhedus"
"Neotoma magister";"14581";"Animalia";"Chordata";"Mammalia";"Rodentia";"Cricetidae";"Neotoma"
"Ourebia ourebi";"15732";"Animalia";"Chordata";"Mammalia";"Cetartiodactyla";"Bovidae";"Ourebia"
"Ovis nivicola";"15740";"Animalia";"Chordata";"Mammalia";"Cetartiodactyla";"Bovidae";"Ovis"
"Panthera leo";"15952";"Animalia";"Chordata";"Mammalia";"Carnivora";"Felidae";"Panthera"
"Antilocapra americana";"1680";"Animalia";"Chordata";"Mammalia";"Cetartiodactyla";"Antilocapridae";"Antilocapra"
"Phocoena phocoena";"17030";"Animalia";"Chordata";"Mammalia";"Cetartiodactyla";"Phocoenidae";"Phocoena"
"Plagiodontia aedium";"17460";"Animalia";"Chordata";"Mammalia";"Rodentia";"Capromyidae";"Plagiodontia"
