"blife_binomial","n_cells","st_area"
"Accipiter albogularis",2361,37703
"Accipiter badius",946765,22975379
"Accipiter bicolor",595411,14392404
"Accipiter brachyurus",1713,35816
"Accipiter brevipes",302201,7245282
"Accipiter butleri",51,482
"Accipiter castanilius",87307,2110342
"Accipiter cirrocephalus",234080,5512617
"Accipiter collaris",12616,276270
"Accipiter cooperii",435442,10505856
"Accipiter erythrauchen",2682,48474
"Accipiter erythropus",162319,3930529
"Accipiter fasciatus",342755,8215954
"Accipiter francesiae",22305,522199
"Accipiter gentilis",1497516,35974883
"Accipiter griseiceps",6854,141548
"Accipiter gularis",429068,10123562
"Accipiter gundlachi",4824,107435
"Accipiter haplochrous",809,16471
"Accipiter henicogrammus",1035,18462
"Accipiter henstii",18765,436960
"Accipiter hiogaster",37336,799762
"Accipiter imitator",719,10116
"Accipiter luteoschistaceus",1765,31262
"Accipiter madagascariensis",20541,479122
"Accipiter melanochlamys",5369,116213
"Accipiter melanoleucus",377687,9127035
"Accipiter meyerianus",12846,270928
"Accipiter minullus",283083,6835051
"Accipiter nanus",3814,61689
"Accipiter nisus",1524017,36703791
"Accipiter novaehollandiae",77751,1814394
"Accipiter ovampensis",303894,7339099
"Accipiter poliocephalus",30394,675932
"Accipiter poliogaster",403427,9822450
"Accipiter princeps",627,11626
"Accipiter rhodogaster",7078,147017
"Accipiter rufitorques",1011,17678
"Accipiter rufiventris",32972,760242
"Accipiter soloensis",174497,4020196
"Accipiter striatus",902200,21669027
"Accipiter superciliosus",355221,8614017
"Accipiter sylvestris",1932,34805
"Accipiter tachiro",215232,5204900
"Accipiter toussenelii",191760,4628046
"Accipiter trinotatus",5920,121046
"Accipiter trivirgatus",145838,3385403
"Accipiter virgatus",186800,4418480
"Aegypius monachus",730781,17768986
"Aquila adalberti",44878,1077041
"Aquila africana",80436,1931049
"Aquila audax",318830,7711601
"Aquila chrysaetos",1796516,43318777
"Aquila fasciata",251766,5935114
"Aquila gurneyi",27202,605780
"Aquila heliaca",1304465,31745412
"Aquila nipalensis",1254821,30447052
"Aquila rapax",727252,17670094
"Aquila spilogaster",513701,12498878
