"blife_id","blife_binomial","blife_order","blife_family","blife_iucn_status","ref_binomial","ref_order","ref_family","ref_id","method"
22678073,"Rhea americana","Struthioniformes","Rheidae","NT","Rhea americana","Struthioniformes","Rheidae",22678073,"Match by ID"
22678108,"Casuarius casuarius","Struthioniformes","Casuariidae","LC","Casuarius casuarius","Struthioniformes","Casuariidae",22678108,"Match by ID"
22678111,"Casuarius bennetti","Struthioniformes","Casuariidae","LC","Casuarius bennetti","Struthioniformes","Casuariidae",22678111,"Match by ID"
22678114,"Casuarius unappendiculatus","Struthioniformes","Casuariidae","LC","Casuarius unappendiculatus","Struthioniformes","Casuariidae",22678114,"Match by ID"
22678117,"Dromaius novaehollandiae","Struthioniformes","Casuariidae","LC","Dromaius novaehollandiae","Struthioniformes","Casuariidae",22678117,"Match by ID"
22678122,"Apteryx australis","Struthioniformes","Apterygidae","VU","Apteryx australis","Struthioniformes","Apterygidae",22678122,"Match by ID"
22678129,"Apteryx owenii","Struthioniformes","Apterygidae","NT","Apteryx owenii","Struthioniformes","Apterygidae",22678129,"Match by ID"
22678132,"Apteryx haastii","Struthioniformes","Apterygidae","VU","Apteryx haastii","Struthioniformes","Apterygidae",22678132,"Match by ID"
22678135,"Tinamus tao","Struthioniformes","Tinamidae","VU","Tinamus tao","Struthioniformes","Tinamidae",22678135,"Match by ID"
22678139,"Tinamus solitarius","Struthioniformes","Tinamidae","NT","Tinamus solitarius","Struthioniformes","Tinamidae",22678139,"Match by ID"
22678145,"Tinamus osgoodi","Struthioniformes","Tinamidae","VU","Tinamus osgoodi","Struthioniformes","Tinamidae",22678145,"Match by ID"
22678148,"Tinamus major","Struthioniformes","Tinamidae","LC","Tinamus major","Struthioniformes","Tinamidae",22678148,"Match by ID"
22678151,"Tinamus guttatus","Struthioniformes","Tinamidae","NT","Tinamus guttatus","Struthioniformes","Tinamidae",22678151,"Match by ID"
22678154,"Nothocercus bonapartei","Struthioniformes","Tinamidae","LC","Nothocercus bonapartei","Struthioniformes","Tinamidae",22678154,"Match by ID"
22678157,"Nothocercus julius","Struthioniformes","Tinamidae","LC","Nothocercus julius","Struthioniformes","Tinamidae",22678157,"Match by ID"
22678160,"Nothocercus nigrocapillus","Struthioniformes","Tinamidae","LC","Nothocercus nigrocapillus","Struthioniformes","Tinamidae",22678160,"Match by ID"
22678163,"Crypturellus berlepschi","Struthioniformes","Tinamidae","LC","Crypturellus berlepschi","Struthioniformes","Tinamidae",22678163,"Match by ID"
22678166,"Crypturellus cinereus","Struthioniformes","Tinamidae","LC","Crypturellus cinereus","Struthioniformes","Tinamidae",22678166,"Match by ID"
22678169,"Crypturellus soui","Struthioniformes","Tinamidae","LC","Crypturellus soui","Struthioniformes","Tinamidae",22678169,"Match by ID"
22678172,"Crypturellus ptaritepui","Struthioniformes","Tinamidae","LC","Crypturellus ptaritepui","Struthioniformes","Tinamidae",22678172,"Match by ID"
22678176,"Crypturellus obsoletus","Struthioniformes","Tinamidae","LC","Crypturellus obsoletus","Struthioniformes","Tinamidae",22678176,"Match by ID"
22678182,"Crypturellus undulatus","Struthioniformes","Tinamidae","LC","Crypturellus undulatus","Struthioniformes","Tinamidae",22678182,"Match by ID"
22678185,"Crypturellus transfasciatus","Struthioniformes","Tinamidae","NT","Crypturellus transfasciatus","Struthioniformes","Tinamidae",22678185,"Match by ID"
22678188,"Crypturellus strigulosus","Struthioniformes","Tinamidae","LC","Crypturellus strigulosus","Struthioniformes","Tinamidae",22678188,"Match by ID"
22678191,"Crypturellus boucardi","Struthioniformes","Tinamidae","VU","Crypturellus boucardi","Struthioniformes","Tinamidae",22678191,"Match by ID"
22678194,"Crypturellus kerriae","Struthioniformes","Tinamidae","NT","Crypturellus kerriae","Struthioniformes","Tinamidae",22678194,"Match by ID"
22678213,"Crypturellus duidae","Struthioniformes","Tinamidae","LC","Crypturellus duidae","Struthioniformes","Tinamidae",22678213,"Match by ID"
22678217,"Crypturellus noctivagus","Struthioniformes","Tinamidae","NT","Crypturellus noctivagus","Struthioniformes","Tinamidae",22678217,"Match by ID"
22678220,"Crypturellus atrocapillus","Struthioniformes","Tinamidae","LC","Crypturellus atrocapillus","Struthioniformes","Tinamidae",22678220,"Match by ID"
22678223,"Crypturellus variegatus","Struthioniformes","Tinamidae","LC","Crypturellus variegatus","Struthioniformes","Tinamidae",22678223,"Match by ID"
22678226,"Crypturellus brevirostris","Struthioniformes","Tinamidae","LC","Crypturellus brevirostris","Struthioniformes","Tinamidae",22678226,"Match by ID"
22678229,"Crypturellus bartletti","Struthioniformes","Tinamidae","LC","Crypturellus bartletti","Struthioniformes","Tinamidae",22678229,"Match by ID"
22678232,"Crypturellus parvirostris","Struthioniformes","Tinamidae","LC","Crypturellus parvirostris","Struthioniformes","Tinamidae",22678232,"Match by ID"
22678235,"Crypturellus casiquiare","Struthioniformes","Tinamidae","LC","Crypturellus casiquiare","Struthioniformes","Tinamidae",22678235,"Match by ID"
22678238,"Crypturellus tataupa","Struthioniformes","Tinamidae","LC","Crypturellus tataupa","Struthioniformes","Tinamidae",22678238,"Match by ID"
22678246,"Nothoprocta taczanowskii","Struthioniformes","Tinamidae","VU","Nothoprocta taczanowskii","Struthioniformes","Tinamidae",22678246,"Match by ID"
22678254,"Nothoprocta ornata","Struthioniformes","Tinamidae","LC","Nothoprocta ornata","Struthioniformes","Tinamidae",22678254,"Match by ID"
22678259,"Nothoprocta pentlandii","Struthioniformes","Tinamidae","LC","Nothoprocta pentlandii","Struthioniformes","Tinamidae",22678259,"Match by ID"
22678262,"Nothoprocta cinerascens","Struthioniformes","Tinamidae","LC","Nothoprocta cinerascens","Struthioniformes","Tinamidae",22678262,"Match by ID"
