"iucn_binomial","n_cells","st_area"
"Abditomys latidens",53,793
"Abeomelomys sevia",493,9748
"Abrawayaomys chebezi",2280,53044
"Abrawayaomys ruschii",2263,50989
"Abrocoma bennettii",5459,125341
"Abrocoma boliviensis",8,65
"Abrocoma budini",26,407
"Abrocoma cinerea",22213,531846
"Abrocoma famatina",164,3318
"Abrocoma shistacea",262,5513
"Abrocoma uspallata",5,14
"Abrocoma vaccarum",5,37
"Abrothrix andinus",25839,615622
"Abrothrix illutea",2412,56570
"Abrothrix jelskii",21197,500818
"Abrothrix lanosus",1930,40520
"Abrothrix longipilis",30267,718467
"Abrothrix manni",2027,45243
"Abrothrix olivaceus",46024,1084475
"Abrothrix sanborni",244,4533
"Acerodon celebensis",8128,178110
"Acerodon humilis",69,935
"Acerodon jubatus",7190,145392
"Acerodon leucotis",732,12831
"Acerodon mackloti",3655,75100
"Acinonyx jubatus",573684,13823145
"Acomys airensis",75563,1835423
"Acomys cahirinus",166543,4035009
"Acomys cilicicus",5,18
"Acomys cineraceus",43999,1056113
"Acomys dimidiatus",66176,1565457
"Acomys ignitus",4496,105963
"Acomys johannis",17937,428693
"Acomys kempi",23902,573468
"Acomys louisae",28920,692946
"Acomys minous",435,8364
"Acomys mullah",6911,161422
"Acomys muzei",19855,475676
"Acomys nesiotes",456,9294
"Acomys ngurui",11012,263045
"Acomys percivali",9467,224449
"Acomys russatus",29966,705046
"Acomys selousi",10846,259480
"Acomys seurati",12489,300192
"Acomys spinosissimus",4296,101811
"Acomys subspinosus",4188,94611
"Acomys wilsoni",57119,1381988
"Aconaemys fuscus",1403,32000
"Aconaemys porteri",1005,22700
"Aconaemys sagei",1776,40572
"Acrobates pygmaeus",50861,1206164
"Addax nasomaculatus",2257,49758
"Aegialomys galapagoensis",4,23
"Aegialomys xanthaeolus",11453,260611
"Aepeomys lugens",464,9559
"Aepeomys reigi",587,13100
"Aepyceros melampus",145211,3518592
"Aepyprymnus rufescens",23971,569386
"Aeretes melanopterus",2455,56347
"Aeromys tephromelas",15773,364596
"Aeromys thomasi",18892,449191
"Aethalops aequalis",4065,93619
"Aethalops alecto",3934,80055
"Aethomys bocagei",10776,254933
"Aethomys chrysophilus",171951,4177416
"Aethomys hindei",102758,2498444
"Aethomys ineptus",24707,594594
"Aethomys kaiseri",70523,1704273
