"iucn_id","iucn_binomial","iucn_order","iucn_family","iucn_category","iucn_presence","ref_binomial","ref_order","ref_family","ref_id","method"
18,"Abrocoma boliviensis","Rodentia","Abrocomidae","CR",1,"Abrocoma boliviensis","Rodentia","Abrocomidae",18,"Match by ID"
137,"Acerodon celebensis","Chiroptera","Pteropodidae","VU",1,"Acerodon celebensis","Chiroptera","Pteropodidae",137,"Match by ID"
138,"Acerodon humilis","Chiroptera","Pteropodidae","EN",1,"Acerodon humilis","Chiroptera","Pteropodidae",138,"Match by ID"
139,"Acerodon jubatus","Chiroptera","Pteropodidae","EN",1,"Acerodon jubatus","Chiroptera","Pteropodidae",139,"Match by ID"
140,"Acerodon leucotis","Chiroptera","Pteropodidae","VU",1,"Acerodon leucotis","Chiroptera","Pteropodidae",140,"Match by ID"
142,"Acerodon mackloti","Chiroptera","Pteropodidae","VU",1,"Acerodon mackloti","Chiroptera","Pteropodidae",142,"Match by ID"
219,"Acinonyx jubatus","Carnivora","Felidae","VU",1,"Acinonyx jubatus","Carnivora","Felidae",219,"Match by ID"
263,"Acomys cahirinus","Rodentia","Muridae","LC",1,"Acomys cahirinus","Rodentia","Muridae",263,"Match by ID"
264,"Acomys cilicicus","Rodentia","Muridae","DD",1,"Acomys cilicicus","Rodentia","Muridae",264,"Match by ID"
265,"Acomys cineraceus","Rodentia","Muridae","LC",1,"Acomys cineraceus","Rodentia","Muridae",265,"Match by ID"
266,"Acomys ignitus","Rodentia","Muridae","LC",1,"Acomys ignitus","Rodentia","Muridae",266,"Match by ID"
267,"Acomys kempi","Rodentia","Muridae","LC",1,"Acomys kempi","Rodentia","Muridae",267,"Match by ID"
268,"Acomys louisae","Rodentia","Muridae","LC",1,"Acomys louisae","Rodentia","Muridae",268,"Match by ID"
269,"Acomys minous","Rodentia","Muridae","DD",1,"Acomys minous","Rodentia","Muridae",269,"Match by ID"
270,"Acomys mullah","Rodentia","Muridae","LC",1,"Acomys mullah","Rodentia","Muridae",270,"Match by ID"
271,"Acomys nesiotes","Rodentia","Muridae","DD",1,"Acomys nesiotes","Rodentia","Muridae",271,"Match by ID"
272,"Acomys percivali","Rodentia","Muridae","LC",1,"Acomys percivali","Rodentia","Muridae",272,"Match by ID"
273,"Acomys russatus","Rodentia","Muridae","LC",1,"Acomys russatus","Rodentia","Muridae",273,"Match by ID"
275,"Acomys subspinosus","Rodentia","Muridae","LC",1,"Acomys subspinosus","Rodentia","Muridae",275,"Match by ID"
276,"Acomys wilsoni","Rodentia","Muridae","LC",1,"Acomys wilsoni","Rodentia","Muridae",276,"Match by ID"
278,"Aconaemys fuscus","Rodentia","Octodontidae","LC",1,"Aconaemys fuscus","Rodentia","Octodontidae",278,"Match by ID"
279,"Aconaemys sagei","Rodentia","Octodontidae","DD",1,"Aconaemys sagei","Rodentia","Octodontidae",279,"Match by ID"
512,"Addax nasomaculatus","Artiodactyla","Bovidae","CR",1,"Addax nasomaculatus","Cetartiodactyla","Bovidae",512,"Match by ID"
547,"Handleyomys fuscatus","Rodentia","Cricetidae","LC",1,"Handleyomys fuscatus","Rodentia","Cricetidae",547,"Match by ID"
548,"Aepeomys lugens","Rodentia","Cricetidae","LC",1,"Aepeomys lugens","Rodentia","Cricetidae",548,"Match by ID"
555,"Aeretes melanopterus","Rodentia","Sciuridae","NT",1,"Aeretes melanopterus","Rodentia","Sciuridae",555,"Match by ID"
556,"Aeromys tephromelas","Rodentia","Sciuridae","DD",1,"Aeromys tephromelas","Rodentia","Sciuridae",556,"Match by ID"
557,"Aeromys thomasi","Rodentia","Sciuridae","LC",1,"Aeromys thomasi","Rodentia","Sciuridae",557,"Match by ID"
565,"Aethalops alecto","Chiroptera","Pteropodidae","LC",1,"Aethalops alecto","Chiroptera","Pteropodidae",565,"Match by ID"
567,"Aethomys silindensis","Rodentia","Muridae","DD",1,"Aethomys silindensis","Rodentia","Muridae",567,"Match by ID"
568,"Aethomys bocagei","Rodentia","Muridae","LC",1,"Aethomys bocagei","Rodentia","Muridae",568,"Match by ID"
569,"Aethomys chrysophilus","Rodentia","Muridae","LC",2,"Aethomys chrysophilus","Rodentia","Muridae",569,"Match by ID"
570,"Micaelamys granti","Rodentia","Muridae","LC",1,"Micaelamys granti","Rodentia","Muridae",570,"Match by ID"
571,"Aethomys hindei","Rodentia","Muridae","LC",1,"Aethomys hindei","Rodentia","Muridae",571,"Match by ID"
572,"Aethomys kaiseri","Rodentia","Muridae","LC",1,"Aethomys kaiseri","Rodentia","Muridae",572,"Match by ID"
573,"Micaelamys namaquensis","Rodentia","Muridae","LC",1,"Micaelamys namaquensis","Rodentia","Muridae",573,"Match by ID"
574,"Aethomys nyikae","Rodentia","Muridae","LC",1,"Aethomys nyikae","Rodentia","Muridae",574,"Match by ID"
575,"Aethomys stannarius","Rodentia","Muridae","DD",1,"Aethomys stannarius","Rodentia","Muridae",575,"Match by ID"
576,"Aethomys thomasi","Rodentia","Muridae","LC",1,"Aethomys thomasi","Rodentia","Muridae",576,"Match by ID"
699,"Cuniculus paca","Rodentia","Cuniculidae","LC",1,"Cuniculus paca","Rodentia","Cuniculidae",699,"Match by ID"
700,"Cuniculus taczanowskii","Rodentia","Cuniculidae","NT",1,"Cuniculus taczanowskii","Rodentia","Cuniculidae",700,"Match by ID"
712,"Ailuropoda melanoleuca","Carnivora","Ursidae","VU",3,"Ailuropoda melanoleuca","Carnivora","Ursidae",712,"Match by ID"
714,"Ailurus fulgens","Carnivora","Ailuridae","EN",1,"Ailurus fulgens","Carnivora","Ailuridae",714,"Match by ID"
723,"Akodon aerosus","Rodentia","Cricetidae","LC",1,"Akodon aerosus","Rodentia","Cricetidae",723,"Match by ID"
724,"Akodon affinis","Rodentia","Cricetidae","LC",1,"Akodon affinis","Rodentia","Cricetidae",724,"Match by ID"
725,"Akodon albiventer","Rodentia","Cricetidae","LC",1,"Akodon albiventer","Rodentia","Cricetidae",725,"Match by ID"
726,"Akodon azarae","Rodentia","Cricetidae","LC",1,"Akodon azarae","Rodentia","Cricetidae",726,"Match by ID"
727,"Neomicroxus bogotensis","Rodentia","Cricetidae","LC",1,"Neomicroxus bogotensis","Rodentia","Cricetidae",727,"Match by ID"
728,"Akodon boliviensis","Rodentia","Cricetidae","LC",1,"Akodon boliviensis","Rodentia","Cricetidae",728,"Match by ID"
729,"Akodon budini","Rodentia","Cricetidae","LC",1,"Akodon budini","Rodentia","Cricetidae",729,"Match by ID"
730,"Akodon cursor","Rodentia","Cricetidae","LC",1,"Akodon cursor","Rodentia","Cricetidae",730,"Match by ID"
731,"Akodon dayi","Rodentia","Cricetidae","LC",1,"Akodon dayi","Rodentia","Cricetidae",731,"Match by ID"
733,"Akodon fumeus","Rodentia","Cricetidae","LC",1,"Akodon fumeus","Rodentia","Cricetidae",733,"Match by ID"
735,"Abrothrix illutea","Rodentia","Cricetidae","LC",1,"Abrothrix illutea","Rodentia","Cricetidae",735,"Match by ID"
736,"Akodon iniscatus","Rodentia","Cricetidae","LC",1,"Akodon iniscatus","Rodentia","Cricetidae",736,"Match by ID"
737,"Akodon juninensis","Rodentia","Cricetidae","LC",1,"Akodon juninensis","Rodentia","Cricetidae",737,"Match by ID"
738,"Deltamys kempi","Rodentia","Cricetidae","LC",1,"Deltamys kempi","Rodentia","Cricetidae",738,"Match by ID"
739,"Akodon kofordi","Rodentia","Cricetidae","LC",1,"Akodon kofordi","Rodentia","Cricetidae",739,"Match by ID"
740,"Abrothrix lanosus","Rodentia","Cricetidae","LC",1,"Abrothrix lanosus","Rodentia","Cricetidae",740,"Match by ID"
741,"Neomicroxus latebricola","Rodentia","Cricetidae","EN",1,"Neomicroxus latebricola","Rodentia","Cricetidae",741,"Match by ID"
742,"Akodon lindberghi","Rodentia","Cricetidae","DD",1,"Akodon lindberghi","Rodentia","Cricetidae",742,"Match by ID"
743,"Abrothrix longipilis","Rodentia","Cricetidae","LC",1,"Abrothrix longipilis","Rodentia","Cricetidae",743,"Match by ID"
746,"Akodon mimus","Rodentia","Cricetidae","LC",1,"Akodon mimus","Rodentia","Cricetidae",746,"Match by ID"
747,"Akodon molinae","Rodentia","Cricetidae","LC",1,"Akodon molinae","Rodentia","Cricetidae",747,"Match by ID"
748,"Akodon mollis","Rodentia","Cricetidae","LC",1,"Akodon mollis","Rodentia","Cricetidae",748,"Match by ID"
750,"Thaptomys nigrita","Rodentia","Cricetidae","LC",1,"Thaptomys nigrita","Rodentia","Cricetidae",750,"Match by ID"
751,"Abrothrix olivaceus","Rodentia","Cricetidae","LC",1,"Abrothrix olivaceus","Rodentia","Cricetidae",751,"Match by ID"
752,"Akodon orophilus","Rodentia","Cricetidae","LC",1,"Akodon orophilus","Rodentia","Cricetidae",752,"Match by ID"
753,"Akodon lutescens","Rodentia","Cricetidae","LC",1,"Akodon lutescens","Rodentia","Cricetidae",753,"Match by ID"
754,"Abrothrix sanborni","Rodentia","Cricetidae","NT",1,"Abrothrix sanborni","Rodentia","Cricetidae",754,"Match by ID"
755,"Akodon sanctipaulensis","Rodentia","Cricetidae","DD",1,"Akodon sanctipaulensis","Rodentia","Cricetidae",755,"Match by ID"
756,"Akodon serrensis","Rodentia","Cricetidae","LC",1,"Akodon serrensis","Rodentia","Cricetidae",756,"Match by ID"
757,"Akodon siberiae","Rodentia","Cricetidae","NT",1,"Akodon siberiae","Rodentia","Cricetidae",757,"Match by ID"
758,"Akodon simulator","Rodentia","Cricetidae","LC",1,"Akodon simulator","Rodentia","Cricetidae",758,"Match by ID"
760,"Akodon subfuscus","Rodentia","Cricetidae","LC",1,"Akodon subfuscus","Rodentia","Cricetidae",760,"Match by ID"
761,"Akodon surdus","Rodentia","Cricetidae","VU",1,"Akodon surdus","Rodentia","Cricetidae",761,"Match by ID"
762,"Akodon sylvanus","Rodentia","Cricetidae","LC",2,"Akodon sylvanus","Rodentia","Cricetidae",762,"Match by ID"
763,"Akodon toba","Rodentia","Cricetidae","LC",1,"Akodon toba","Rodentia","Cricetidae",763,"Match by ID"
764,"Akodon torques","Rodentia","Cricetidae","LC",1,"Akodon torques","Rodentia","Cricetidae",764,"Match by ID"
765,"Necromys urichi","Rodentia","Cricetidae","LC",1,"Necromys urichi","Rodentia","Cricetidae",765,"Match by ID"
766,"Akodon varius","Rodentia","Cricetidae","DD",1,"Akodon varius","Rodentia","Cricetidae",766,"Match by ID"
843,"Alionycteris paucidentata","Chiroptera","Pteropodidae","LC",3,"Alionycteris paucidentata","Chiroptera","Pteropodidae",843,"Match by ID"
850,"Allactaga tetradactyla","Rodentia","Dipodidae","DD",1,"Allactaga tetradactyla","Rodentia","Dipodidae",850,"Match by ID"
851,"Allactaga balikunica","Rodentia","Dipodidae","LC",1,"Allactaga balikunica","Rodentia","Dipodidae",851,"Match by ID"
852,"Allactaga bullata","Rodentia","Dipodidae","LC",1,"Allactaga bullata","Rodentia","Dipodidae",852,"Match by ID"
854,"Scarturus euphratica","Rodentia","Dipodidae","LC",1,"Scarturus euphratica","Rodentia","Dipodidae",854,"Match by ID"
855,"Allactaga firouzi","Rodentia","Dipodidae","DD",1,"Allactaga firouzi","Rodentia","Dipodidae",855,"Match by ID"
856,"Allactaga hotsoni","Rodentia","Dipodidae","LC",1,"Allactaga hotsoni","Rodentia","Dipodidae",856,"Match by ID"
857,"Allactaga major","Rodentia","Dipodidae","LC",1,"Allactaga major","Rodentia","Dipodidae",857,"Match by ID"
858,"Allactaga severtzovi","Rodentia","Dipodidae","LC",1,"Allactaga severtzovi","Rodentia","Dipodidae",858,"Match by ID"
859,"Allactaga sibirica","Rodentia","Dipodidae","LC",1,"Allactaga sibirica","Rodentia","Dipodidae",859,"Match by ID"
860,"Scarturus vinogradovi","Rodentia","Dipodidae","LC",1,"Scarturus vinogradovi","Rodentia","Dipodidae",860,"Match by ID"
861,"Allactodipus bobrinskii","Rodentia","Dipodidae","LC",1,"Allactodipus bobrinskii","Rodentia","Dipodidae",861,"Match by ID"
865,"Allenopithecus nigroviridis","Primates","Cercopithecidae","LC",1,"Allenopithecus nigroviridis","Primates","Cercopithecidae",865,"Match by ID"
868,"Allocebus trichotis","Primates","Cheirogaleidae","EN",1,"Allocebus trichotis","Primates","Cheirogaleidae",868,"Match by ID"
875,"Allocricetulus eversmanni","Rodentia","Cricetidae","LC",1,"Allocricetulus eversmanni","Rodentia","Cricetidae",875,"Match by ID"
899,"Vulpes lagopus","Carnivora","Canidae","LC",1,"Vulpes lagopus","Carnivora","Canidae",899,"Match by ID"
914,"Alouatta pigra","Primates","Atelidae","EN",1,"Alouatta pigra","Primates","Atelidae",914,"Match by ID"
918,"Alouatta ululata","Primates","Atelidae","EN",1,"Alouatta ululata","Primates","Atelidae",918,"Match by ID"
922,"Alouatta juara","Primates","Atelidae","LC",1,"Alouatta juara","Primates","Atelidae",922,"Match by ID"
948,"Alticola albicaudus","Rodentia","Cricetidae","DD",1,"Alticola albicaudus","Rodentia","Cricetidae",948,"Match by ID"
949,"Alticola argentatus","Rodentia","Cricetidae","LC",1,"Alticola argentatus","Rodentia","Cricetidae",949,"Match by ID"
950,"Alticola barakshin","Rodentia","Cricetidae","LC",1,"Alticola barakshin","Rodentia","Cricetidae",950,"Match by ID"
951,"Alticola lemminus","Rodentia","Cricetidae","LC",1,"Alticola lemminus","Rodentia","Cricetidae",951,"Match by ID"
952,"Alticola macrotis","Rodentia","Cricetidae","LC",1,"Alticola macrotis","Rodentia","Cricetidae",952,"Match by ID"
953,"Alticola montosa","Rodentia","Cricetidae","VU",1,"Alticola montosa","Rodentia","Cricetidae",953,"Match by ID"
954,"Alticola roylei","Rodentia","Cricetidae","NT",1,"Alticola roylei","Rodentia","Cricetidae",954,"Match by ID"
955,"Alticola semicanus","Rodentia","Cricetidae","LC",1,"Alticola semicanus","Rodentia","Cricetidae",955,"Match by ID"
956,"Alticola stoliczkanus","Rodentia","Cricetidae","LC",1,"Alticola stoliczkanus","Rodentia","Cricetidae",956,"Match by ID"
958,"Alticola strelzowi","Rodentia","Cricetidae","LC",1,"Alticola strelzowi","Rodentia","Cricetidae",958,"Match by ID"
959,"Alticola tuvinicus","Rodentia","Cricetidae","LC",1,"Alticola tuvinicus","Rodentia","Cricetidae",959,"Match by ID"
1087,"Neamblysomus gunningi","Afrosoricida","Chrysochloridae","EN",1,"Neamblysomus gunningi","Afrosoricida","Chrysochloridae",1087,"Match by ID"
1089,"Neamblysomus julianae","Afrosoricida","Chrysochloridae","EN",1,"Neamblysomus julianae","Afrosoricida","Chrysochloridae",1089,"Match by ID"
1137,"Ametrida centurio","Chiroptera","Phyllostomidae","LC",1,"Ametrida centurio","Chiroptera","Phyllostomidae",1137,"Match by ID"
1140,"Ammodillus imbellis","Rodentia","Muridae","DD",1,"Ammodillus imbellis","Rodentia","Muridae",1140,"Match by ID"
1141,"Ammodorcas clarkei","Artiodactyla","Bovidae","VU",3,"Ammodorcas clarkei","Cetartiodactyla","Bovidae",1141,"Match by ID"
1149,"Ammospermophilus nelsoni","Rodentia","Sciuridae","EN",1,"Ammospermophilus nelsoni","Rodentia","Sciuridae",1149,"Match by ID"
1151,"Ammotragus lervia","Artiodactyla","Bovidae","VU",1,"Ammotragus lervia","Cetartiodactyla","Bovidae",1151,"Match by ID"
1154,"Amorphochilus schnablii","Chiroptera","Furipteridae","VU",1,"Amorphochilus schnablii","Chiroptera","Furipteridae",1154,"Match by ID"
1264,"Andalgalomys olrogi","Rodentia","Cricetidae","LC",1,"Andalgalomys olrogi","Rodentia","Cricetidae",1264,"Match by ID"
1265,"Andalgalomys pearsoni","Rodentia","Cricetidae","LC",1,"Andalgalomys pearsoni","Rodentia","Cricetidae",1265,"Match by ID"
1271,"Andinomys edax","Rodentia","Cricetidae","LC",1,"Andinomys edax","Rodentia","Cricetidae",1271,"Match by ID"
1307,"Anisomys imitator","Rodentia","Muridae","LC",1,"Anisomys imitator","Rodentia","Muridae",1307,"Match by ID"
1550,"Anomalurus derbianus","Rodentia","Anomaluridae","LC",1,"Anomalurus derbianus","Rodentia","Anomaluridae",1550,"Match by ID"
